,threshold,label,precision,recall,f1
743,74.0,3.0,0.9239130434782609,0.8673469387755102,0.8947368421052632
744,74.0,4.0,0.8282828282828283,0.8118811881188119,0.8200000000000001
745,74.0,5.0,0.7596153846153846,0.7452830188679245,0.7523809523809523
746,74.0,6.0,0.8793103448275862,0.9272727272727272,0.902654867256637
747,74.0,7.0,0.8686868686868687,0.8775510204081632,0.8730964467005075
748,74.0,8.0,0.8026315789473685,0.648936170212766,0.7176470588235294
749,74.0,9.0,0.7029702970297029,0.8452380952380952,0.7675675675675676
750,75.0,0.0,0.9069767441860465,0.9176470588235294,0.9122807017543859
751,75.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
752,75.0,2.0,0.8229166666666666,0.7821782178217822,0.8020304568527918
753,75.0,3.0,0.8585858585858586,0.8673469387755102,0.8629441624365481
754,75.0,4.0,0.7757009345794392,0.8217821782178217,0.7980769230769231
755,75.0,5.0,0.7578947368421053,0.6792452830188679,0.7164179104477613
756,75.0,6.0,0.8793103448275862,0.9272727272727272,0.902654867256637
757,75.0,7.0,0.822429906542056,0.8979591836734694,0.8585365853658536
758,75.0,8.0,0.6818181818181818,0.6382978723404256,0.6593406593406593
759,75.0,9.0,0.7662337662337663,0.7023809523809523,0.7329192546583851
760,76.0,0.0,0.9186046511627907,0.9294117647058824,0.9239766081871345
761,76.0,1.0,0.921875,0.959349593495935,0.9402390438247011
762,76.0,2.0,0.872093023255814,0.7425742574257426,0.8021390374331551
763,76.0,3.0,0.8380952380952381,0.8979591836734694,0.8669950738916257
764,76.0,4.0,0.8118811881188119,0.8118811881188119,0.8118811881188119
765,76.0,5.0,0.8470588235294118,0.6792452830188679,0.7539267015706805
766,76.0,6.0,0.8938053097345132,0.9181818181818182,0.9058295964125559
767,76.0,7.0,0.8349514563106796,0.8775510204081632,0.8557213930348259
768,76.0,8.0,0.7142857142857143,0.7446808510638298,0.7291666666666666
769,76.0,9.0,0.7052631578947368,0.7976190476190477,0.7486033519553073
770,77.0,0.0,0.9069767441860465,0.9176470588235294,0.9122807017543859
771,77.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
772,77.0,2.0,0.8478260869565217,0.7722772277227723,0.8082901554404146
773,77.0,3.0,0.8469387755102041,0.8469387755102041,0.8469387755102041
774,77.0,4.0,0.8181818181818182,0.801980198019802,0.8100000000000002
775,77.0,5.0,0.7954545454545454,0.660377358490566,0.7216494845360825
776,77.0,6.0,0.9009009009009009,0.9090909090909091,0.9049773755656109
777,77.0,7.0,0.88,0.8979591836734694,0.888888888888889
778,77.0,8.0,0.6513761467889908,0.7553191489361702,0.6995073891625616
779,77.0,9.0,0.75,0.7857142857142857,0.7674418604651163
780,78.0,0.0,0.8777777777777778,0.9294117647058824,0.9028571428571429
