,threshold,label,precision (count),recall (count),f1 (count),precision (sum),recall (sum),f1 (sum)
255,25.0,5.0,0.1426332288401254,0.8584905660377359,0.24462365591397847,0.3333333333333333,0.018867924528301886,0.03571428571428571
256,25.0,6.0,0.8979591836734694,0.8,0.8461538461538463,0.8048780487804879,0.9,0.8497854077253219
257,25.0,7.0,0.9365079365079365,0.6020408163265306,0.732919254658385,0.7924528301886793,0.8571428571428571,0.8235294117647058
258,25.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
259,25.0,9.0,0.6363636363636364,0.16666666666666666,0.2641509433962264,0.6261682242990654,0.7976190476190477,0.7015706806282722
260,26.0,0.0,0.35714285714285715,0.058823529411764705,0.10101010101010101,0.5961538461538461,0.7294117647058823,0.656084656084656
261,26.0,1.0,0.058823529411764705,0.008130081300813009,0.014285714285714285,0.7128712871287128,0.5853658536585366,0.6428571428571429
262,26.0,2.0,0.15038759689922482,0.9603960396039604,0.26005361930294907,0.6981132075471698,0.7326732673267327,0.714975845410628
263,26.0,3.0,0.5121951219512195,0.21428571428571427,0.302158273381295,0.5,0.7244897959183674,0.5916666666666667
264,26.0,4.0,0.875,0.4158415841584158,0.5637583892617449,0.7818181818181819,0.8514851485148515,0.8151658767772512
265,26.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
266,26.0,6.0,0.9444444444444444,0.15454545454545454,0.265625,0.8048780487804879,0.9,0.8497854077253219
267,26.0,7.0,0.9545454545454546,0.6428571428571429,0.7682926829268294,0.7924528301886793,0.8571428571428571,0.8235294117647058
268,26.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
269,26.0,9.0,0.4966887417218543,0.8928571428571429,0.6382978723404256,0.6261682242990654,0.7976190476190477,0.7015706806282722
270,27.0,0.0,0.0,0.0,0.0,0.5961538461538461,0.7294117647058823,0.656084656084656
271,27.0,1.0,0.20473773265651438,0.983739837398374,0.33893557422969184,0.7128712871287128,0.5853658536585366,0.6428571428571429
